iter	Passed	Remaining
1519	53267	16821
1520	53301	16785
1521	53337	16751
1522	53377	16717
1523	53412	16682
1524	53448	16647
1525	53481	16612
1526	53515	16576
1527	53551	16542
1528	53590	16508
1529	53625	16473
1530	53664	16439
1531	53700	16404
1532	53735	16369
1533	53775	16335
1534	53810	16300
1535	53847	16266
1536	53883	16231
1537	53918	16196
1538	53956	16162
1539	53991	16127
1540	54026	16092
1541	54062	16057
1542	54098	16022
1543	54133	15987
1544	54170	15953
1545	54205	15918
1546	54239	15882
1547	54272	15846
1548	54306	15811
1549	54341	15776
1550	54373	15740
1551	54409	15705
1552	54444	15670
1553	54476	15634
1554	54512	15599
1555	54547	15564
1556	54584	15530
1557	54621	15495
1558	54657	15461
1559	54693	15426
1560	54727	15391
1561	54761	15355
1562	54795	15320
1563	54830	15285
1564	54866	15250
1565	54900	15215
1566	54933	15179
1567	54969	15144
1568	55003	15109
1569	55038	15074
1570	55074	15039
1571	55110	15004
1572	55144	14969
1573	55180	14934
1574	55218	14900
1575	55254	14865
1576	55289	14830
1577	55325	14795
1578	55360	14760
1579	55393	14724
1580	55428	14689
1581	55462	14654
1582	55497	14619
1583	55532	14584
1584	55569	14549
1585	55604	14514
1586	55641	14480
1587	55679	14445
1588	55715	14410
1589	55755	14377
1590	55793	14342
1591	55828	14307
1592	55863	14272
1593	55899	14237
1594	55934	14202
1595	55971	14168
1596	56005	14132
1597	56041	14098
1598	56078	14063
1599	56114	14028
1600	56148	13993
1601	56186	13958
1602	56220	13923
1603	56255	13888
1604	56290	13853
1605	56325	13818
1606	56359	13783
1607	56394	13747
1608	56427	13712
1609	56460	13676
1610	56496	13641
1611	56529	13606
1612	56563	13571
1613	56596	13535
1614	56631	13500
1615	56664	13464
1616	56700	13430
1617	56733	13394
1618	56768	13359
1619	56803	13324
1620	56840	13289
1621	56874	13254
1622	56911	13219
1623	56944	13184
1624	56979	13149
1625	57013	13113
1626	57048	13078
1627	57084	13043
1628	57118	13008
1629	57154	12973
1630	57194	12939
1631	57230	12905
1632	57263	12869
1633	57298	12834
1634	57334	12799
1635	57369	12764
1636	57404	12729
1637	57442	12694
1638	57478	12659
1639	57513	12624
1640	57547	12589
1641	57582	12554
1642	57617	12519
1643	57654	12484
1644	57693	12450
1645	57728	12415
1646	57763	12380
1647	57798	12345
1648	57832	12310
1649	57868	12275
1650	57906	12240
1651	57941	12205
1652	57978	12171
1653	58014	12136
1654	58049	12100
1655	58083	12065
1656	58117	12030
1657	58152	11995
1658	58187	11960
1659	58221	11924
1660	58256	11889
